========================================
Antarctic_Heat 调参结果汇总
生成时间: 2026-04-23 15:14:15
========================================

格式: window_size | contrastive_weight | learning_rate | MSE | MAE | best_epoch
15 | 0.001 | 0.0012 | 0.15861716866493225 | 0.2741798162460327 | N/A
15 | 0.001 | 0.001 | 0.16093873977661133 | 0.2765781283378601 | N/A
15 | 0.001 | 0.002 | 0.16485576331615448 | 0.274831086397171 | N/A
15 | 0.005 | 0.0001 | N/A | N/A | N/A
1 | 0.00001 | 0.0001 | 0.14931266009807587 | 0.26557332277297974 | N/A
1 | 0.00001 | 0.0002 | 0.1493414342403412 | 0.2665218412876129 | N/A
1 | 0.00001 | 0.0005 | 0.15180714428424835 | 0.268280953168869 | N/A
1 | 0.00001 | 0.0012 | 0.1523257941007614 | 0.2699262797832489 | N/A
1 | 0.00001 | 0.001 | 0.15220507979393005 | 0.270589679479599 | N/A
1 | 0.00001 | 0.002 | 0.15074142813682556 | 0.2653807997703552 | N/A
1 | 0.00005 | 0.0001 | 0.14931246638298035 | 0.26555177569389343 | N/A
1 | 0.00005 | 0.0002 | 0.14942514896392822 | 0.2666027843952179 | N/A
1 | 0.00005 | 0.0005 | 0.151925727725029 | 0.2685299217700958 | N/A
1 | 0.00005 | 0.0012 | 0.15115326642990112 | 0.2664937674999237 | N/A
1 | 0.00005 | 0.001 | 0.15151502192020416 | 0.26823344826698303 | N/A
1 | 0.00005 | 0.002 | 0.15168598294258118 | 0.2661858797073364 | N/A
1 | 0.0001 | 0.0001 | 0.14929699897766113 | 0.26551055908203125 | N/A
1 | 0.0001 | 0.0002 | 0.15028460323810577 | 0.2666471302509308 | N/A
1 | 0.0001 | 0.0005 | 0.15342094004154205 | 0.27013418078422546 | N/A
1 | 0.0001 | 0.0012 | 0.15002740919589996 | 0.2670971751213074 | N/A
1 | 0.0001 | 0.001 | 0.15298821032047272 | 0.27099770307540894 | N/A
1 | 0.0001 | 0.002 | 0.15044425427913666 | 0.2656310200691223 | N/A
1 | 0.0005 | 0.0001 | 0.148821160197258 | 0.2649502754211426 | N/A
1 | 0.0005 | 0.0002 | 0.15039317309856415 | 0.2667405903339386 | N/A
1 | 0.0005 | 0.0005 | 0.15113277733325958 | 0.26802265644073486 | N/A
1 | 0.0005 | 0.0012 | 0.15219055116176605 | 0.26711931824684143 | N/A
1 | 0.0005 | 0.001 | 0.15009501576423645 | 0.26721417903900146 | N/A
1 | 0.0005 | 0.002 | 0.14981915056705475 | 0.2646031975746155 | N/A
1 | 0.001 | 0.0001 | 0.1484210342168808 | 0.26440638303756714 | N/A
1 | 0.001 | 0.0002 | 0.1506732553243637 | 0.2667761445045471 | N/A
1 | 0.001 | 0.0005 | 0.15119102597236633 | 0.2678971588611603 | N/A
1 | 0.001 | 0.0012 | 0.15123134851455688 | 0.2692813575267792 | N/A
1 | 0.001 | 0.001 | 0.15275683999061584 | 0.2695688009262085 | N/A
1 | 0.001 | 0.002 | 0.14850151538848877 | 0.2635287344455719 | N/A
1 | 0.005 | 0.0001 | 0.14910252392292023 | 0.26585468649864197 | N/A
1 | 0.005 | 0.0002 | 0.14986278116703033 | 0.266422301530838 | N/A
1 | 0.005 | 0.0005 | 0.15245449542999268 | 0.2690756916999817 | N/A
1 | 0.005 | 0.0012 | 0.1521541178226471 | 0.26829710602760315 | N/A
1 | 0.005 | 0.001 | 0.1500083953142166 | 0.26763495802879333 | N/A
1 | 0.005 | 0.002 | 0.14759096503257751 | 0.2634223699569702 | N/A
1 | 0.01 | 0.0001 | 0.14881420135498047 | 0.2658083736896515 | N/A
1 | 0.01 | 0.0002 | 0.1498556286096573 | 0.2667553722858429 | N/A
1 | 0.01 | 0.0005 | 0.15119487047195435 | 0.2678747773170471 | N/A
1 | 0.01 | 0.0012 | 0.15307065844535828 | 0.2687162756919861 | N/A
1 | 0.01 | 0.001 | 0.15284311771392822 | 0.2678338289260864 | N/A
1 | 0.01 | 0.002 | 0.15020935237407684 | 0.2657708525657654 | N/A
2 | 0.00001 | 0.0001 | 0.14860986173152924 | 0.2650492191314697 | N/A
2 | 0.00001 | 0.0002 | 0.14902736246585846 | 0.2649754583835602 | N/A
2 | 0.00001 | 0.0005 | 0.1521451473236084 | 0.26871564984321594 | N/A
2 | 0.00001 | 0.0012 | 0.14961229264736176 | 0.2644779086112976 | N/A
2 | 0.00001 | 0.001 | 0.1515100747346878 | 0.2670588195323944 | N/A
2 | 0.00001 | 0.002 | 0.15749025344848633 | 0.2693171799182892 | N/A
2 | 0.00005 | 0.0001 | 0.14858323335647583 | 0.2650381624698639 | N/A
